0	250	250
1	387	297
2	5	297
3	355	177
4	78	346
5	286	159
6	322	465
7	393	408
8	89	216
9	76	345
10	410	285
11	472	189
12	270	49
13	219	325
14	437	12
15	418	218
16	20	488
17	77	347
18	73	346
19	480	455
20	129	292
21	337	257
22	237	254
23	131	220
24	417	417
25	287	143
26	379	80
27	87	285
28	374	489
29	440	247
30	281	137
31	379	196
32	297	102
33	39	76
34	35	306
35	435	68
36	245	251
37	409	88
38	273	55
39	163	340
40	129	223
41	371	200
42	357	26
43	470	473
44	77	344
45	478	461
46	128	291
47	111	113
48	164	21
49	21	485
50	108	26
51	424	286
52	200	270
53	7	300
54	433	31
55	420	295
56	451	367
57	118	157
58	489	101
59	200	261
60	476	483
61	30	302
62	8	300
63	275	45
64	238	46
65	152	206
66	99	218
67	393	410
68	480	460
69	337	256
70	389	300
71	90	237
72	321	280
73	417	218
74	64	108
75	57	432
76	356	24
77	143	207
78	221	325
79	22	483
80	24	65
81	141	431
82	202	9
83	20	48
84	457	163
85	470	290
86	268	400
87	337	251
88	366	20
89	72	344
90	149	203
91	55	428
92	189	7
93	397	18
94	481	122
95	20	73
96	54	430
97	74	350
98	202	8
99	406	285
100	460	2
101	441	244
102	1	293
103	115	465
104	422	420
105	75	347
106	141	428
107	404	264
108	398	23
109	148	211
110	362	22
111	479	127
112	443	246
113	22	37
114	65	100
115	404	447
116	102	264
117	444	271
118	325	466
119	124	219
120	335	243
121	26	42
122	113	106
123	399	450
124	146	439
125	162	336
126	2	295
127	122	35
128	346	60
129	93	213
130	218	316
131	116	156
132	419	422
133	467	141
134	187	491
135	433	25
136	286	137
137	370	82
138	132	290
139	435	11
140	206	261
141	428	291
142	95	384
143	205	223
144	463	140
145	343	47
146	435	62
147	387	488
148	121	157
149	182	463
150	92	216
151	370	83
152	444	242
153	90	285
154	446	64
155	312	264
156	208	11
157	442	247
158	140	431
159	118	153
160	134	428
161	91	235
162	406	257
163	377	76
164	474	96
165	346	57
166	393	301
167	412	214
168	210	398
169	346	150
170	62	453
171	437	61
172	87	96
173	367	83
174	91	268
175	459	145
176	63	444
177	433	27
178	60	454
179	478	99
180	485	454
181	6	292
182	398	20
183	248	251
184	433	15
185	64	426
186	154	207
187	481	456
188	380	498
189	88	286
190	111	23
191	199	187
192	269	48
193	367	178
194	452	163
195	431	28
196	8	116
197	233	47
198	237	43
199	320	262
200	188	4
201	180	6
202	328	466
203	393	12
204	409	90
205	406	87
206	394	407
207	358	183
208	186	461
209	38	72
210	323	471
211	224	192
212	278	46
213	272	403
214	232	42
215	18	63
216	58	458
217	416	417
218	205	230
219	65	453
220	421	294
221	434	245
222	2	116
223	411	421
224	315	260
225	136	288
226	173	490
227	90	232
228	402	265
229	361	14
230	348	147
231	385	295
232	394	23
233	466	295
234	71	103
235	125	29
236	25	65
237	58	449
238	246	398
239	423	294
240	59	459
241	348	145
242	477	97
243	307	102
244	169	31
245	381	495
246	95	234
247	22	33
248	435	268
249	135	293
250	439	266
251	269	402
252	267	400
253	473	196
254	445	237
255	461	284
256	167	339
257	26	43
258	101	386
259	342	54
260	243	399
261	288	44
262	274	48
263	360	184
264	23	67
265	6	296
266	249	258
267	421	415
268	319	468
269	50	438
270	440	61
271	17	65
272	323	118
273	402	281
274	71	153
275	52	432
276	378	199
277	238	204
278	208	184
279	376	195
280	473	475
281	215	395
282	123	222
283	436	241
284	70	100
285	73	328
286	241	205
287	250	405
288	483	14
289	466	287
290	467	114
291	120	159
292	408	84
293	413	217
294	338	142
295	483	457
296	479	169
297	95	224
298	122	216
299	477	179
300	406	99
301	44	47
302	487	450
303	172	488
304	460	374
305	279	138
306	338	147
307	395	295
308	195	185
309	463	194
310	30	72
311	244	254
312	317	261
313	67	108
314	442	310
315	63	336
316	109	107
317	100	387
318	494	94
319	343	49
320	40	52
321	319	124
322	94	97
323	476	94
324	283	47
325	398	325
326	460	13
327	305	107
328	188	12
329	136	290
330	439	268
331	112	467
332	181	469
333	358	18
334	459	10
335	199	268
336	436	237
337	318	280
338	64	99
339	394	333
340	366	93
341	95	391
342	391	425
343	344	146
344	198	12
345	186	472
346	390	408
347	19	43
348	307	108
349	59	457
350	49	451
351	125	39
352	61	147
353	317	123
354	392	426
355	237	213
356	71	333
357	304	97
358	196	462
359	224	191
360	37	51
361	491	25
362	270	401
363	474	461
364	66	448
365	337	241
366	269	46
367	22	41
368	198	271
369	287	43
370	446	63
371	200	229
372	48	72
373	465	142
374	123	155
375	16	497
376	220	319
377	484	171
378	55	431
379	428	24
380	80	342
381	16	68
382	124	56
383	95	218
384	481	26
385	145	434
386	335	57
387	26	490
388	324	127
389	109	114
390	72	148
391	220	392
392	442	243
393	69	336
394	131	226
395	150	204
396	423	217
397	419	459
398	285	163
399	203	7
400	54	445
401	109	463
402	355	180
403	13	455
404	165	337
405	314	124
406	9	124
407	3	292
408	16	462
409	189	464
410	288	154
411	90	296
412	138	438
413	13	459
414	461	8
415	96	97
416	68	99
417	146	205
418	117	152
419	481	96
420	338	260
421	285	44
422	111	464
423	468	291
424	148	206
425	184	464
426	197	11
427	396	410
428	133	53
429	132	30
430	464	13
431	100	394
432	483	22
433	93	235
434	174	26
435	436	264
436	24	492
437	406	94
438	234	246
439	315	287
440	408	453
441	128	225
442	226	191
443	391	407
444	198	264
445	179	7
446	425	215
447	483	27
448	22	40
449	479	176
450	476	102
451	386	405
452	22	38
453	440	241
454	182	14
455	266	405
456	357	181
457	395	332
458	423	290
459	104	28
460	131	56
461	111	110
462	97	93
463	90	274
464	214	394
465	6	114
466	375	191
467	356	21
468	466	165
469	415	223
470	397	20
471	241	403
